Symptoms,Medicines
cough,azithromycin
"headache, swelling",diclofenac
"cold, cough, sore throat","cetirizine, azithromycin"
"sneezing, body pain, fever, allergy, acidity","paracetamol, cetirizine, aciloc"
"cold, body pain","cetirizine, diclofenac"
"body pain, swelling",diclofenac
"bacterial infection, acidity, inflammation, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
"cough, cold, allergy, sneezing, stomach pain","cetirizine, azithromycin, aciloc"
headache,diclofenac
"stomach pain, swelling, bacterial infection, allergy, cough","cetirizine, azithromycin, diclofenac, aciloc"
"inflammation, cold, sneezing, headache","cetirizine, diclofenac"
headache,diclofenac
"headache, acidity","diclofenac, aciloc"
headache,diclofenac
"bacterial infection, fever, sneezing","paracetamol, cetirizine, azithromycin"
inflammation,diclofenac
body pain,diclofenac
"bacterial infection, allergy","cetirizine, azithromycin"
cough,azithromycin
"acidity, sore throat, cough","azithromycin, aciloc"
"cold, body pain, cough, inflammation","cetirizine, azithromycin, diclofenac"
"cough, fever, headache, swelling","paracetamol, azithromycin, diclofenac"
"allergy, bacterial infection","cetirizine, azithromycin"
"inflammation, headache, stomach pain, cough, body pain","azithromycin, diclofenac, aciloc"
"cough, sore throat, fever, inflammation, stomach pain","paracetamol, azithromycin, diclofenac, aciloc"
"bacterial infection, allergy, body pain","cetirizine, azithromycin, diclofenac"
"sore throat, allergy, sneezing","cetirizine, azithromycin"
"stomach pain, cold","cetirizine, aciloc"
"stomach pain, headache, runny nose","cetirizine, diclofenac, aciloc"
"runny nose, cold, fever, cough, sneezing","paracetamol, cetirizine, azithromycin"
"bacterial infection, cold, stomach pain, swelling","cetirizine, azithromycin, diclofenac, aciloc"
"sore throat, bacterial infection, cold, inflammation","cetirizine, azithromycin, diclofenac"
swelling,diclofenac
inflammation,diclofenac
allergy,cetirizine
"sore throat, inflammation, stomach pain, cough","azithromycin, diclofenac, aciloc"
"allergy, fever, headache, inflammation, sore throat","paracetamol, cetirizine, azithromycin, diclofenac"
runny nose,cetirizine
"cough, inflammation, bacterial infection, sore throat","azithromycin, diclofenac"
"cold, swelling, cough, sore throat","cetirizine, azithromycin, diclofenac"
"headache, body pain, stomach pain","diclofenac, aciloc"
"body pain, headache, swelling, cough","azithromycin, diclofenac"
allergy,cetirizine
"headache, stomach pain, swelling, runny nose","cetirizine, diclofenac, aciloc"
"sneezing, sore throat, runny nose, fever","paracetamol, cetirizine, azithromycin"
"fever, acidity","paracetamol, aciloc"
"cough, inflammation, runny nose, sore throat","cetirizine, azithromycin, diclofenac"
"runny nose, sneezing, stomach pain","cetirizine, aciloc"
"sore throat, acidity, bacterial infection, runny nose, stomach pain","cetirizine, azithromycin, aciloc"
fever,paracetamol
"fever, inflammation, cold, stomach pain","paracetamol, cetirizine, diclofenac, aciloc"
"cough, cold, allergy, sore throat","cetirizine, azithromycin"
"cough, sore throat, fever, allergy","paracetamol, cetirizine, azithromycin"
"bacterial infection, body pain, cough","azithromycin, diclofenac"
"sore throat, body pain, swelling, allergy, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
cough,azithromycin
"allergy, bacterial infection, inflammation, cough, body pain","cetirizine, azithromycin, diclofenac"
"sneezing, headache, cough, acidity, cold","cetirizine, azithromycin, diclofenac, aciloc"
"headache, runny nose","cetirizine, diclofenac"
"swelling, cold, acidity","cetirizine, diclofenac, aciloc"
"inflammation, headache, fever","paracetamol, diclofenac"
"acidity, inflammation","diclofenac, aciloc"
bacterial infection,azithromycin
body pain,diclofenac
"allergy, headache, inflammation","cetirizine, diclofenac"
acidity,aciloc
"runny nose, inflammation, stomach pain","cetirizine, diclofenac, aciloc"
"fever, headache, stomach pain, cold","paracetamol, cetirizine, aciloc"
"stomach pain, cough, allergy, fever, sore throat","paracetamol, cetirizine, azithromycin, aciloc"
inflammation,diclofenac
"fever, cough, allergy, swelling","paracetamol, cetirizine, azithromycin, diclofenac"
"runny nose, headache, allergy","cetirizine, diclofenac"
cold,cetirizine
"cold, fever, body pain, allergy, stomach pain","paracetamol, cetirizine, aciloc"
"acidity, inflammation","diclofenac, aciloc"
"fever, body pain, headache",paracetamol
"bacterial infection, headache","azithromycin, diclofenac"
"headache, stomach pain","diclofenac, aciloc"
"runny nose, body pain, fever","paracetamol, cetirizine"
headache,diclofenac
"fever, stomach pain, cold, swelling, sneezing","paracetamol, cetirizine, diclofenac, aciloc"
"stomach pain, cough, acidity","azithromycin, aciloc"
"cold, sore throat, sneezing","cetirizine, azithromycin"
"inflammation, sneezing","cetirizine, diclofenac"
"stomach pain, sore throat","azithromycin, aciloc"
"fever, swelling, acidity, sneezing, body pain","paracetamol, cetirizine, diclofenac, aciloc"
"body pain, inflammation",diclofenac
"swelling, cough, acidity, body pain","azithromycin, diclofenac, aciloc"
"stomach pain, sore throat, bacterial infection, sneezing","cetirizine, azithromycin, aciloc"
"sneezing, headache, cold, runny nose","cetirizine, diclofenac"
acidity,aciloc
bacterial infection,azithromycin
"body pain, runny nose","cetirizine, diclofenac"
"cough, sore throat, allergy","cetirizine, azithromycin"
"swelling, cold","cetirizine, diclofenac"
cold,cetirizine
"swelling, cold, allergy","cetirizine, diclofenac"
"sneezing, fever","paracetamol, cetirizine"
"cough, stomach pain, headache, acidity, sore throat","azithromycin, diclofenac, aciloc"
"allergy, sneezing, bacterial infection","cetirizine, azithromycin"
"cough, inflammation","azithromycin, diclofenac"
"sneezing, runny nose, inflammation","cetirizine, diclofenac"
allergy,cetirizine
"body pain, cold, allergy, sore throat","cetirizine, azithromycin, diclofenac"
sore throat,azithromycin
"sore throat, stomach pain, inflammation","azithromycin, diclofenac, aciloc"
"body pain, headache",diclofenac
"stomach pain, swelling, runny nose, headache","cetirizine, diclofenac, aciloc"
"sore throat, runny nose","cetirizine, azithromycin"
"body pain, runny nose, stomach pain","cetirizine, diclofenac, aciloc"
"sore throat, allergy, stomach pain, cold","cetirizine, azithromycin, aciloc"
"inflammation, runny nose, swelling","cetirizine, diclofenac"
"acidity, body pain","diclofenac, aciloc"
"cough, acidity, fever","paracetamol, azithromycin, aciloc"
"sneezing, swelling, allergy, cough","cetirizine, azithromycin, diclofenac"
"allergy, runny nose, acidity, cough","cetirizine, azithromycin, aciloc"
"headache, sore throat, stomach pain, fever","paracetamol, azithromycin, aciloc"
"sore throat, cold, fever","paracetamol, cetirizine, azithromycin"
"acidity, cold, sneezing, headache","cetirizine, diclofenac, aciloc"
"stomach pain, sneezing, cold, bacterial infection, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
cough,azithromycin
"body pain, acidity, runny nose, sneezing, cold","cetirizine, diclofenac, aciloc"
cough,azithromycin
"bacterial infection, runny nose","cetirizine, azithromycin"
"sore throat, body pain, inflammation","azithromycin, diclofenac"
"cough, headache, body pain","azithromycin, diclofenac"
"cough, allergy, sneezing","cetirizine, azithromycin"
"sneezing, sore throat, cough, bacterial infection, swelling","cetirizine, azithromycin, diclofenac"
"fever, allergy, sore throat","paracetamol, cetirizine, azithromycin"
"swelling, acidity, allergy","cetirizine, diclofenac, aciloc"
runny nose,cetirizine
"sneezing, runny nose, swelling","cetirizine, diclofenac"
"fever, cold, inflammation","paracetamol, cetirizine, diclofenac"
runny nose,cetirizine
"bacterial infection, allergy, swelling, sneezing","cetirizine, azithromycin, diclofenac"
fever,paracetamol
acidity,aciloc
"runny nose, cough, allergy, sore throat","cetirizine, azithromycin"
"stomach pain, cough, cold","cetirizine, azithromycin, aciloc"
"body pain, runny nose","cetirizine, diclofenac"
"cold, inflammation, cough","cetirizine, azithromycin, diclofenac"
"runny nose, body pain, stomach pain, sore throat, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
body pain,diclofenac
"body pain, acidity","diclofenac, aciloc"
"body pain, runny nose","cetirizine, diclofenac"
bacterial infection,azithromycin
"fever, headache",paracetamol
"stomach pain, cold, headache, cough, bacterial infection","cetirizine, azithromycin, diclofenac, aciloc"
"cold, cough","cetirizine, azithromycin"
bacterial infection,azithromycin
"body pain, cough","azithromycin, diclofenac"
"bacterial infection, swelling","azithromycin, diclofenac"
"swelling, runny nose, bacterial infection, sneezing","cetirizine, azithromycin, diclofenac"
"runny nose, headache, sore throat","cetirizine, azithromycin, diclofenac"
"bacterial infection, sneezing","cetirizine, azithromycin"
stomach pain,aciloc
fever,paracetamol
"bacterial infection, fever, cough","paracetamol, azithromycin"
"sore throat, bacterial infection, fever, stomach pain","paracetamol, azithromycin, aciloc"
"runny nose, sore throat, allergy, bacterial infection","cetirizine, azithromycin"
"acidity, inflammation, sneezing","cetirizine, diclofenac, aciloc"
"fever, headache, sore throat","paracetamol, azithromycin"
"acidity, body pain","diclofenac, aciloc"
"headache, stomach pain, cough","azithromycin, diclofenac, aciloc"
body pain,diclofenac
"cold, fever, stomach pain, allergy, bacterial infection","paracetamol, cetirizine, azithromycin, aciloc"
"sneezing, swelling, fever, stomach pain, sore throat","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
acidity,aciloc
"sneezing, allergy, stomach pain, headache, cold","cetirizine, diclofenac, aciloc"
sneezing,cetirizine
"stomach pain, cold","cetirizine, aciloc"
"fever, acidity","paracetamol, aciloc"
inflammation,diclofenac
"allergy, fever","paracetamol, cetirizine"
"stomach pain, swelling, cold, allergy","cetirizine, diclofenac, aciloc"
"stomach pain, runny nose, sneezing, fever, body pain","paracetamol, cetirizine, aciloc"
"stomach pain, body pain, cold","cetirizine, diclofenac, aciloc"
"allergy, swelling","cetirizine, diclofenac"
"sore throat, body pain, headache, fever, acidity","paracetamol, azithromycin, aciloc"
"swelling, body pain, fever","paracetamol, diclofenac"
"bacterial infection, fever","paracetamol, azithromycin"
"sore throat, bacterial infection, headache","azithromycin, diclofenac"
"fever, cold, bacterial infection, sore throat, body pain","paracetamol, cetirizine, azithromycin"
cold,cetirizine
"cough, fever, bacterial infection, sneezing, acidity","paracetamol, cetirizine, azithromycin, aciloc"
"inflammation, cold, sore throat, cough","cetirizine, azithromycin, diclofenac"
"acidity, stomach pain",aciloc
"bacterial infection, allergy, body pain","cetirizine, azithromycin, diclofenac"
"swelling, cough","azithromycin, diclofenac"
"headache, cough, body pain, fever","paracetamol, azithromycin"
"sore throat, allergy, bacterial infection, acidity, cough","cetirizine, azithromycin, aciloc"
"acidity, runny nose, headache","cetirizine, diclofenac, aciloc"
"sneezing, body pain, cold, stomach pain, cough","cetirizine, azithromycin, diclofenac, aciloc"
"allergy, fever, body pain, runny nose","paracetamol, cetirizine"
"stomach pain, bacterial infection, inflammation, cold","cetirizine, azithromycin, diclofenac, aciloc"
"allergy, sneezing",cetirizine
"cough, swelling, inflammation, cold","cetirizine, azithromycin, diclofenac"
"stomach pain, runny nose, swelling, body pain, cold","cetirizine, diclofenac, aciloc"
"body pain, inflammation, runny nose","cetirizine, diclofenac"
inflammation,diclofenac
"body pain, cold, stomach pain","cetirizine, diclofenac, aciloc"
"acidity, inflammation, sneezing, cold","cetirizine, diclofenac, aciloc"
"inflammation, swelling, sore throat, headache","azithromycin, diclofenac"
swelling,diclofenac
swelling,diclofenac
"acidity, stomach pain, bacterial infection","azithromycin, aciloc"
"runny nose, cold, sneezing",cetirizine
"cold, body pain","cetirizine, diclofenac"
"body pain, bacterial infection, swelling","azithromycin, diclofenac"
"cold, sneezing, body pain","cetirizine, diclofenac"
"sore throat, swelling, fever, runny nose, inflammation","paracetamol, cetirizine, azithromycin, diclofenac"
"sore throat, bacterial infection, sneezing","cetirizine, azithromycin"
"allergy, cough, sneezing","cetirizine, azithromycin"
"acidity, runny nose, allergy","cetirizine, aciloc"
"stomach pain, bacterial infection, sore throat, sneezing, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"sore throat, inflammation, bacterial infection","azithromycin, diclofenac"
"runny nose, swelling","cetirizine, diclofenac"
"inflammation, swelling",diclofenac
"cough, allergy, runny nose, headache, fever","paracetamol, cetirizine, azithromycin"
"inflammation, allergy, stomach pain","cetirizine, diclofenac, aciloc"
"cough, allergy, fever, swelling, acidity","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
"bacterial infection, body pain","azithromycin, diclofenac"
allergy,cetirizine
allergy,cetirizine
"fever, allergy, sneezing, swelling, body pain","paracetamol, cetirizine, diclofenac"
"stomach pain, sore throat, swelling, headache","azithromycin, diclofenac, aciloc"
"body pain, stomach pain","diclofenac, aciloc"
"stomach pain, sore throat, bacterial infection","azithromycin, aciloc"
"sore throat, headache, allergy, swelling","cetirizine, azithromycin, diclofenac"
"stomach pain, cold, cough, swelling","cetirizine, azithromycin, diclofenac, aciloc"
"cough, headache, body pain, runny nose, allergy","cetirizine, azithromycin, diclofenac"
"stomach pain, swelling","diclofenac, aciloc"
"fever, sore throat, bacterial infection, stomach pain, allergy","paracetamol, cetirizine, azithromycin, aciloc"
runny nose,cetirizine
"inflammation, runny nose","cetirizine, diclofenac"
"runny nose, body pain","cetirizine, diclofenac"
fever,paracetamol
"sneezing, inflammation, bacterial infection","cetirizine, azithromycin, diclofenac"
"cough, allergy","cetirizine, azithromycin"
"swelling, sore throat, fever","paracetamol, azithromycin, diclofenac"
sneezing,cetirizine
"inflammation, sneezing, cold, runny nose","cetirizine, diclofenac"
"headache, runny nose","cetirizine, diclofenac"
"allergy, headache, runny nose, body pain, cough","cetirizine, azithromycin, diclofenac"
"body pain, allergy, sneezing","cetirizine, diclofenac"
"bacterial infection, swelling","azithromycin, diclofenac"
inflammation,diclofenac
"stomach pain, inflammation, cough","azithromycin, diclofenac, aciloc"
"cold, inflammation, swelling, runny nose, headache","cetirizine, diclofenac"
"swelling, inflammation",diclofenac
swelling,diclofenac
"fever, sore throat, acidity, stomach pain, cold","paracetamol, cetirizine, azithromycin, aciloc"
"allergy, runny nose, inflammation, swelling, sneezing","cetirizine, diclofenac"
"sneezing, fever, bacterial infection","paracetamol, cetirizine, azithromycin"
inflammation,diclofenac
"inflammation, runny nose, sore throat, sneezing, fever","paracetamol, cetirizine, azithromycin, diclofenac"
sore throat,azithromycin
"cough, allergy, swelling, sore throat, runny nose","cetirizine, azithromycin, diclofenac"
headache,diclofenac
bacterial infection,azithromycin
"swelling, bacterial infection, stomach pain, runny nose, cough","cetirizine, azithromycin, diclofenac, aciloc"
"stomach pain, sneezing, allergy","cetirizine, aciloc"
swelling,diclofenac
allergy,cetirizine
"fever, cold","paracetamol, cetirizine"
"inflammation, bacterial infection, runny nose","cetirizine, azithromycin, diclofenac"
"sneezing, bacterial infection, runny nose","cetirizine, azithromycin"
body pain,diclofenac
fever,paracetamol
"sore throat, acidity, swelling, body pain, cold","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, sore throat","azithromycin, aciloc"
"headache, allergy, inflammation, swelling, bacterial infection","cetirizine, azithromycin, diclofenac"
"stomach pain, cold, sneezing, swelling","cetirizine, diclofenac, aciloc"
"acidity, cold","cetirizine, aciloc"
stomach pain,aciloc
"swelling, sneezing, acidity","cetirizine, diclofenac, aciloc"
"sore throat, bacterial infection, runny nose, cold, acidity","cetirizine, azithromycin, aciloc"
"stomach pain, sneezing, body pain","cetirizine, diclofenac, aciloc"
fever,paracetamol
"cough, sore throat, swelling","azithromycin, diclofenac"
"bacterial infection, acidity, headache","azithromycin, diclofenac, aciloc"
bacterial infection,azithromycin
"sore throat, cold, headache","cetirizine, azithromycin, diclofenac"
acidity,aciloc
"swelling, bacterial infection, headache, stomach pain, inflammation","azithromycin, diclofenac, aciloc"
"stomach pain, body pain","diclofenac, aciloc"
"acidity, stomach pain, cold, swelling","cetirizine, diclofenac, aciloc"
headache,diclofenac
"headache, bacterial infection, stomach pain, swelling","azithromycin, diclofenac, aciloc"
"inflammation, cough","azithromycin, diclofenac"
"sneezing, inflammation, cough, bacterial infection","cetirizine, azithromycin, diclofenac"
"cough, sneezing, runny nose, sore throat","cetirizine, azithromycin"
"body pain, fever, swelling","paracetamol, diclofenac"
"headache, runny nose, stomach pain, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, allergy, body pain, runny nose, cold","cetirizine, diclofenac"
"headache, cold","cetirizine, diclofenac"
"cold, runny nose, body pain","cetirizine, diclofenac"
"bacterial infection, swelling, headache, runny nose, cough","cetirizine, azithromycin, diclofenac"
"acidity, headache","diclofenac, aciloc"
"stomach pain, cold","cetirizine, aciloc"
sneezing,cetirizine
"stomach pain, fever, cold, bacterial infection, body pain","paracetamol, cetirizine, azithromycin, aciloc"
"fever, sore throat, cough, stomach pain, sneezing","paracetamol, cetirizine, azithromycin, aciloc"
"fever, cough, acidity, swelling","paracetamol, azithromycin, diclofenac, aciloc"
"stomach pain, swelling, headache, sore throat","azithromycin, diclofenac, aciloc"
"headache, bacterial infection, stomach pain, acidity, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, inflammation, cough","azithromycin, diclofenac, aciloc"
"headache, allergy","cetirizine, diclofenac"
"sore throat, swelling, allergy, body pain","cetirizine, azithromycin, diclofenac"
"sore throat, sneezing, headache, body pain","cetirizine, azithromycin, diclofenac"
body pain,diclofenac
"inflammation, bacterial infection","azithromycin, diclofenac"
"cold, stomach pain, bacterial infection, acidity, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"inflammation, stomach pain","diclofenac, aciloc"
cold,cetirizine
"runny nose, cough, cold, body pain, headache","cetirizine, azithromycin, diclofenac"
runny nose,cetirizine
"bacterial infection, headache, body pain","azithromycin, diclofenac"
"body pain, inflammation, sneezing, stomach pain, cough","cetirizine, azithromycin, diclofenac, aciloc"
"cold, cough, sneezing","cetirizine, azithromycin"
"bacterial infection, sore throat, cough, headache, fever","paracetamol, azithromycin"
"swelling, body pain",diclofenac
"cold, acidity, bacterial infection","cetirizine, azithromycin, aciloc"
"headache, inflammation",diclofenac
"sneezing, body pain, cold, sore throat","cetirizine, azithromycin, diclofenac"
"swelling, runny nose","cetirizine, diclofenac"
"cold, cough","cetirizine, azithromycin"
fever,paracetamol
"sneezing, body pain, swelling, cough","cetirizine, azithromycin, diclofenac"
"fever, cold","paracetamol, cetirizine"
"cold, cough, runny nose, headache, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"inflammation, acidity, cough","azithromycin, diclofenac, aciloc"
"sneezing, cough, acidity, stomach pain, runny nose","cetirizine, azithromycin, aciloc"
"sore throat, body pain, cold, bacterial infection, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"allergy, stomach pain, headache, fever","paracetamol, cetirizine, aciloc"
"stomach pain, inflammation, body pain, headache","diclofenac, aciloc"
"cough, body pain, sneezing","cetirizine, azithromycin, diclofenac"
"bacterial infection, body pain, cough, fever, headache","paracetamol, azithromycin"
"fever, inflammation, stomach pain","paracetamol, diclofenac, aciloc"
"stomach pain, cough, body pain, sore throat, inflammation","azithromycin, diclofenac, aciloc"
"sore throat, body pain, allergy","cetirizine, azithromycin, diclofenac"
"sore throat, cough, swelling","azithromycin, diclofenac"
"sneezing, body pain, acidity, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, inflammation",diclofenac
"bacterial infection, body pain, sneezing, allergy, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"cough, inflammation, swelling, runny nose","cetirizine, azithromycin, diclofenac"
"headache, body pain",diclofenac
"headache, allergy, bacterial infection, fever, sore throat","paracetamol, cetirizine, azithromycin"
"swelling, cough, cold, sneezing, runny nose","cetirizine, azithromycin, diclofenac"
bacterial infection,azithromycin
allergy,cetirizine
"cough, sore throat, stomach pain, runny nose","cetirizine, azithromycin, aciloc"
"cough, swelling","azithromycin, diclofenac"
"bacterial infection, sore throat, headache, cold","cetirizine, azithromycin, diclofenac"
cough,azithromycin
"sore throat, acidity, swelling","azithromycin, diclofenac, aciloc"
"body pain, acidity","diclofenac, aciloc"
"runny nose, headache, sneezing, cold, acidity","cetirizine, diclofenac, aciloc"
"acidity, cold","cetirizine, aciloc"
cold,cetirizine
"fever, stomach pain","paracetamol, aciloc"
allergy,cetirizine
"headache, allergy, acidity","cetirizine, diclofenac, aciloc"
"bacterial infection, body pain, allergy","cetirizine, azithromycin, diclofenac"
"swelling, inflammation, cough","azithromycin, diclofenac"
"allergy, swelling, acidity, cough","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, fever, bacterial infection","paracetamol, azithromycin, aciloc"
bacterial infection,azithromycin
"runny nose, swelling","cetirizine, diclofenac"
"sneezing, inflammation, runny nose, stomach pain, acidity","cetirizine, diclofenac, aciloc"
"allergy, inflammation","cetirizine, diclofenac"
fever,paracetamol
body pain,diclofenac
"headache, bacterial infection","azithromycin, diclofenac"
"headache, cough, sore throat, fever, allergy","paracetamol, cetirizine, azithromycin"
"bacterial infection, inflammation","azithromycin, diclofenac"
stomach pain,aciloc
"acidity, cough, bacterial infection, inflammation, fever","paracetamol, azithromycin, diclofenac, aciloc"
"cough, body pain, allergy, fever, cold","paracetamol, cetirizine, azithromycin"
"inflammation, swelling, sore throat, body pain","azithromycin, diclofenac"
fever,paracetamol
bacterial infection,azithromycin
stomach pain,aciloc
"allergy, sore throat, swelling, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
acidity,aciloc
"cold, runny nose, swelling, fever, sneezing","paracetamol, cetirizine, diclofenac"
fever,paracetamol
cough,azithromycin
"sore throat, stomach pain","azithromycin, aciloc"
"bacterial infection, cold, headache, runny nose","cetirizine, azithromycin, diclofenac"
"allergy, acidity, runny nose, body pain","cetirizine, diclofenac, aciloc"
"sore throat, inflammation","azithromycin, diclofenac"
"bacterial infection, inflammation, acidity, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
"runny nose, inflammation","cetirizine, diclofenac"
"stomach pain, fever, body pain, sneezing, cough","paracetamol, cetirizine, azithromycin, aciloc"
"sneezing, fever, acidity, body pain, cold","paracetamol, cetirizine, aciloc"
"swelling, bacterial infection, sneezing, cough, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"body pain, stomach pain, bacterial infection","azithromycin, diclofenac, aciloc"
"cold, swelling, cough","cetirizine, azithromycin, diclofenac"
"allergy, cold, swelling, bacterial infection, body pain","cetirizine, azithromycin, diclofenac"
"inflammation, cold, sore throat, sneezing","cetirizine, azithromycin, diclofenac"
"headache, runny nose, body pain, sneezing","cetirizine, diclofenac"
"body pain, sore throat, inflammation","azithromycin, diclofenac"
runny nose,cetirizine
"stomach pain, cough, bacterial infection","azithromycin, aciloc"
"cough, runny nose, body pain","cetirizine, azithromycin, diclofenac"
"allergy, swelling, cold, bacterial infection, inflammation","cetirizine, azithromycin, diclofenac"
"headache, body pain, swelling",diclofenac
"sore throat, acidity, headache, cough, inflammation","azithromycin, diclofenac, aciloc"
"runny nose, cough, stomach pain","cetirizine, azithromycin, aciloc"
"runny nose, body pain, swelling","cetirizine, diclofenac"
"runny nose, headache, inflammation","cetirizine, diclofenac"
fever,paracetamol
"bacterial infection, headache, fever","paracetamol, azithromycin"
"inflammation, sore throat, fever","paracetamol, azithromycin, diclofenac"
"headache, fever, bacterial infection","paracetamol, azithromycin"
"cold, inflammation, headache, bacterial infection","cetirizine, azithromycin, diclofenac"
"swelling, runny nose, headache, sneezing","cetirizine, diclofenac"
"inflammation, bacterial infection, runny nose, cough, sneezing","cetirizine, azithromycin, diclofenac"
"fever, cough, allergy, sneezing","paracetamol, cetirizine, azithromycin"
"cough, bacterial infection, allergy, body pain","cetirizine, azithromycin, diclofenac"
"sore throat, headache, acidity","azithromycin, diclofenac, aciloc"
"fever, stomach pain, headache, cough, sneezing","paracetamol, cetirizine, azithromycin, aciloc"
acidity,aciloc
"acidity, fever, swelling, headache, stomach pain","paracetamol, diclofenac, aciloc"
"swelling, body pain, bacterial infection, cough, fever","paracetamol, azithromycin, diclofenac"
body pain,diclofenac
headache,diclofenac
"acidity, swelling, bacterial infection, stomach pain, body pain","azithromycin, diclofenac, aciloc"
fever,paracetamol
"cold, body pain","cetirizine, diclofenac"
"cough, swelling, runny nose","cetirizine, azithromycin, diclofenac"
"swelling, sneezing, body pain","cetirizine, diclofenac"
fever,paracetamol
"stomach pain, bacterial infection, sneezing, headache","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, sore throat, sneezing, fever","paracetamol, cetirizine, azithromycin, diclofenac"
"swelling, cold, body pain","cetirizine, diclofenac"
"inflammation, bacterial infection","azithromycin, diclofenac"
runny nose,cetirizine
"headache, inflammation",diclofenac
inflammation,diclofenac
"body pain, sore throat, inflammation","azithromycin, diclofenac"
"sneezing, headache, fever, swelling, stomach pain","paracetamol, cetirizine, diclofenac, aciloc"
"runny nose, acidity","cetirizine, aciloc"
"fever, swelling, body pain, runny nose","paracetamol, cetirizine, diclofenac"
"cough, cold","cetirizine, azithromycin"
"runny nose, allergy, bacterial infection, stomach pain, cough","cetirizine, azithromycin, aciloc"
runny nose,cetirizine
"headache, allergy, acidity","cetirizine, diclofenac, aciloc"
"stomach pain, cough, sneezing","cetirizine, azithromycin, aciloc"
"sore throat, runny nose","cetirizine, azithromycin"
allergy,cetirizine
cold,cetirizine
fever,paracetamol
"stomach pain, sneezing","cetirizine, aciloc"
inflammation,diclofenac
"cough, inflammation, stomach pain","azithromycin, diclofenac, aciloc"
sneezing,cetirizine
"body pain, cold, headache","cetirizine, diclofenac"
"headache, stomach pain, inflammation, bacterial infection","azithromycin, diclofenac, aciloc"
"headache, stomach pain, runny nose, bacterial infection","cetirizine, azithromycin, diclofenac, aciloc"
"bacterial infection, acidity, inflammation, cough","azithromycin, diclofenac, aciloc"
"allergy, sore throat, cold, cough","cetirizine, azithromycin"
stomach pain,aciloc
"runny nose, swelling, fever, bacterial infection","paracetamol, cetirizine, azithromycin, diclofenac"
"headache, bacterial infection, sneezing, cold","cetirizine, azithromycin, diclofenac"
"sore throat, cough",azithromycin
"sneezing, cold, acidity, stomach pain","cetirizine, aciloc"
"fever, acidity, cold","paracetamol, cetirizine, aciloc"
"headache, cough, inflammation, cold, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"body pain, fever",paracetamol
"inflammation, fever, stomach pain, allergy","paracetamol, cetirizine, diclofenac, aciloc"
cough,azithromycin
"stomach pain, cold, swelling","cetirizine, diclofenac, aciloc"
"swelling, body pain",diclofenac
"inflammation, runny nose, cold","cetirizine, diclofenac"
"headache, acidity, sore throat, stomach pain","azithromycin, diclofenac, aciloc"
"stomach pain, headache, cough","azithromycin, diclofenac, aciloc"
stomach pain,aciloc
"swelling, stomach pain, fever, acidity","paracetamol, diclofenac, aciloc"
"fever, inflammation, runny nose, swelling","paracetamol, cetirizine, diclofenac"
"inflammation, swelling",diclofenac
"fever, acidity, cold, bacterial infection, stomach pain","paracetamol, cetirizine, azithromycin, aciloc"
inflammation,diclofenac
"inflammation, fever, cold, sneezing, bacterial infection","paracetamol, cetirizine, azithromycin, diclofenac"
"allergy, cold",cetirizine
"runny nose, body pain, acidity","cetirizine, diclofenac, aciloc"
"inflammation, runny nose","cetirizine, diclofenac"
"inflammation, body pain",diclofenac
"runny nose, swelling","cetirizine, diclofenac"
swelling,diclofenac
"runny nose, sneezing",cetirizine
"body pain, swelling",diclofenac
sore throat,azithromycin
cold,cetirizine
"stomach pain, cough, body pain","azithromycin, diclofenac, aciloc"
"allergy, runny nose, body pain","cetirizine, diclofenac"
"sore throat, cold, allergy, body pain","cetirizine, azithromycin, diclofenac"
"body pain, headache, acidity, cough, cold","cetirizine, azithromycin, diclofenac, aciloc"
"body pain, cold, cough","cetirizine, azithromycin, diclofenac"
"bacterial infection, fever, runny nose","paracetamol, cetirizine, azithromycin"
"headache, swelling, fever, sore throat, runny nose","paracetamol, cetirizine, azithromycin, diclofenac"
"cold, cough, sore throat, sneezing","cetirizine, azithromycin"
"inflammation, swelling, cold, runny nose","cetirizine, diclofenac"
"acidity, sore throat, allergy, cold","cetirizine, azithromycin, aciloc"
"fever, sneezing, stomach pain","paracetamol, cetirizine, aciloc"
inflammation,diclofenac
